step,loss,relative_cd,relative_rcs,cd,rcs,area,chord,grad_norm,settle_steps,settled,settle_drag_change,settle_velocity_change,max_mach,mass_error,wall_seconds
0,1.650117039680481,1.650117039680481,1.2600668668746948,25.656124114990234,0.00042571997619234025,0.20499998331069946,0.699999988079071,1.1943999528884888,1200,False,0.015423433855175972,0.018886037170886993,0.4750935435295105,0.041026294231414795,5.088395722999962
1,1.6476513147354126,1.647648811340332,1.260626196861267,25.617748260498047,0.0004259089473634958,0.20500001311302185,0.7005320191383362,1.166357398033142,1200,False,0.019108356907963753,0.00942856352776289,0.4643496870994568,0.041328251361846924,4.887334444999965
2,1.4774236679077148,1.477413535118103,1.2595973014831543,22.970918655395508,0.00042556136031635106,0.20500001311302185,0.7002981901168823,1.1558321714401245,1200,False,0.0006444972241297364,0.003916273359209299,0.46086081862449646,0.04119527339935303,4.91049414500003
3,1.5056138038635254,1.5055909156799316,1.2585152387619019,23.40902328491211,0.00042519575799815357,0.20499998331069946,0.6999736428260803,1.1419131755828857,1200,False,0.0007405689102597535,0.0016906270757317543,0.46107321977615356,0.041214823722839355,4.974873946000002
4,1.4979244470596313,1.4978840351104736,1.25718092918396,23.289196014404297,0.00042474493966437876,0.20500001311302185,0.6997140049934387,1.1389814615249634,1200,False,0.0003261980600655079,0.000666002684738487,0.46034136414527893,0.0412067174911499,4.846837312999924
5,1.4927164316177368,1.492653727531433,1.256816029548645,23.207874298095703,0.0004246216849423945,0.20499998331069946,0.699622392654419,1.1325722932815552,1100,True,1.2574349966598675e-05,0.000244969705818221,0.4603842496871948,0.04119831323623657,4.534843034000005
6,1.489221215248108,1.4891319274902344,1.2562596797943115,23.153118133544922,0.00042443370330147445,0.20499998331069946,0.6996647119522095,1.1229528188705444,700,True,9.259223588742316e-05,0.00014704819477628917,0.4605812430381775,0.04119640588760376,3.4642488149999053
7,1.4856815338134766,1.4855622053146362,1.2559096813201904,23.097614288330078,0.00042431545443832874,0.20499998331069946,0.6997684836387634,1.1178100109100342,700,True,7.62992276577279e-05,0.00010621627006912604,0.46091872453689575,0.04119604825973511,3.525225825000007
8,1.4824025630950928,1.4822502136230469,1.2559864521026611,23.046119689941406,0.00042434141505509615,0.20499998331069946,0.6998704075813293,1.1150304079055786,700,True,7.522855594288558e-05,9.233254240825772e-05,0.46124476194381714,0.04119610786437988,3.444313690999934
9,1.4795291423797607,1.4793416261672974,1.255727767944336,23.000896453857422,0.0004242540162522346,0.20499998331069946,0.6999253630638123,1.1097050905227661,700,True,8.0684112617746e-05,8.45063041197136e-05,0.46155187487602234,0.041195690631866455,3.4109084000000394
10,1.4769680500030518,1.4767440557479858,1.2555066347122192,22.96051025390625,0.0004241792776156217,0.20499999821186066,0.6999183893203735,1.1022555828094482,700,True,7.584172271890566e-05,7.897048635641113e-05,0.46182942390441895,0.041194260120391846,3.4067285759999777
11,1.4745979309082031,1.4743372201919556,1.2551777362823486,22.92308807373047,0.00042406818829476833,0.20500001311302185,0.6998611688613892,1.0962520837783813,700,True,6.631359428865835e-05,7.57303205318749e-05,0.4620693027973175,0.04119175672531128,3.508763640999973
12,1.4723243713378906,1.4720274209976196,1.2547998428344727,22.887174606323242,0.0004239404806867242,0.20500001311302185,0.69977867603302,1.093420386314392,700,True,5.9167417930439115e-05,7.37407390261069e-05,0.4622687101364136,0.04118865728378296,3.4561819589999914
13,1.4700709581375122,1.4697390794754028,1.254616141319275,22.85159683227539,0.00042387843132019043,0.20499999821186066,0.6997002959251404,1.0926281213760376,700,True,5.458550731418654e-05,7.199321407824755e-05,0.4624238908290863,0.04118579626083374,3.4785475690000567
14,1.4677734375,1.467408537864685,1.254852294921875,22.81536102294922,0.00042395820491947234,0.20500001311302185,0.6996520757675171,1.0916423797607422,700,True,5.241506005404517e-05,7.020327757345513e-05,0.4625312089920044,0.04118376970291138,3.4594570289999638
15,1.4653986692428589,1.4650031328201294,1.2550486326217651,22.77796173095703,0.00042402453254908323,0.20500001311302185,0.6996474862098694,1.089061975479126,700,True,5.1077728130621836e-05,6.900183507241309e-05,0.4625783860683441,0.04118317365646362,3.629497657999991
16,1.4629377126693726,1.4625142812728882,1.255332589149475,22.73926544189453,0.0004241204878780991,0.20500002801418304,0.6996840238571167,1.0851341485977173,700,True,4.973878094460815e-05,6.827894685557112e-05,0.46254992485046387,0.04118376970291138,3.451405179999938
17,1.4604175090789795,1.459969162940979,1.255635142326355,22.69969367980957,0.00042422270053066313,0.20500001311302185,0.6997467279434204,1.0810739994049072,700,True,5.024562415201217e-05,6.80169541737996e-05,0.46242445707321167,0.04118490219116211,3.4104871780000394
18,1.457871675491333,1.4574013948440552,1.2560001611709595,22.65976905822754,0.0004243460134603083,0.20499998331069946,0.6998144388198853,1.0778861045837402,700,True,4.9660844524623826e-05,6.747715087840334e-05,0.4621867537498474,0.041185855865478516,3.3827069000000165
19,1.4553327560424805,1.4548437595367432,1.2564241886138916,22.62000274658203,0.0004244892916176468,0.20499995350837708,0.6998653411865234,1.0757372379302979,700,True,4.747153798234649e-05,6.633238081121817e-05,0.46183377504348755,0.04118627309799194,3.5386012080000455
20,1.452822208404541,1.4523173570632935,1.2568137645721436,22.58072280883789,0.0004246209282428026,0.20499996840953827,0.6998834609985352,1.0740537643432617,700,True,4.518909190664999e-05,6.50771107757464e-05,0.4613710045814514,0.04118555784225464,3.404614820000006
21,1.4503448009490967,1.4498268365859985,1.257155418395996,22.54199981689453,0.000424736354034394,0.20499998331069946,0.6998635530471802,1.0720607042312622,700,True,4.078233178006485e-05,6.423687591450289e-05,0.46081507205963135,0.041184067726135254,3.456942214000037
22,1.447892427444458,1.4473634958267212,1.2573603391647339,22.503698348999023,0.00042480556294322014,0.20499998331069946,0.6998118758201599,1.069224238395691,700,True,3.703776019392535e-05,6.38927158433944e-05,0.46018561720848083,0.04118168354034424,3.446689314999958
23,1.445450782775879,1.4449129104614258,1.2578641176223755,22.46559715270996,0.0004249757621437311,0.20499999821186066,0.699743926525116,1.0653302669525146,700,True,3.378950714250095e-05,6.376371311489493e-05,0.45958492159843445,0.04117918014526367,3.497544423000022
24,1.4429970979690552,1.4424517154693604,1.258298397064209,22.427330017089844,0.00042512250365689397,0.20499999821186066,0.6996810436248779,1.0602680444717407,700,True,3.0870640330249444e-05,6.338507228065282e-05,0.4590238332748413,0.04117709398269653,3.3708586599999535
25,1.4405022859573364,1.4399501085281372,1.258817195892334,22.38843536376953,0.0004252977669239044,0.20499998331069946,0.6996446251869202,1.0537632703781128,700,True,2.9220438591437414e-05,6.276000931393355e-05,0.4584352672100067,0.041176021099090576,3.4789440829999876
26,1.4379509687423706,1.4373924732208252,1.2592217922210693,22.348669052124023,0.0004254344676155597,0.20500001311302185,0.6996476650238037,1.0455931425094604,700,True,2.7053536541643552e-05,6.25537577434443e-05,0.45783668756484985,0.04117661714553833,3.4643668340000886
27,1.4353491067886353,1.434783935546875,1.2596893310546875,22.3081111907959,0.00042559244320727885,0.20500001311302185,0.6996896266937256,1.0361255407333374,700,True,2.5820263545028865e-05,6.270648736972362e-05,0.45724549889564514,0.04117894172668457,3.5676345059999903
28,1.4327324628829956,1.432159662246704,1.2600774765014648,22.267309188842773,0.00042572355596348643,0.20500002801418304,0.69975745677948,1.0262997150421143,700,True,2.5439310775254853e-05,6.305930583039299e-05,0.4566790759563446,0.04118269681930542,3.39868495799999
29,1.4301468133926392,1.4295650720596313,1.2607959508895874,22.22696876525879,0.00042596631101332605,0.20499998331069946,0.699830949306488,1.016837239265442,700,True,2.2053098291507922e-05,6.31454968242906e-05,0.45615026354789734,0.0411871075630188,3.400012879999963
30,1.4276233911514282,1.4270309209823608,1.2614656686782837,22.18756675720215,0.00042619259329512715,0.20499998331069946,0.6998905539512634,1.0077728033065796,700,True,1.9341450752108358e-05,6.299300730461255e-05,0.4561414122581482,0.04119151830673218,3.3999281010000004
31,1.425177812576294,1.424572229385376,1.2622069120407104,22.14933967590332,0.0004264430026523769,0.20500001311302185,0.699924886226654,0.9988706707954407,700,True,1.7222049791598693e-05,6.286220013862476e-05,0.4565112590789795,0.04119575023651123,3.519353602000024
32,1.42279052734375,1.4221690893173218,1.2628439664840698,22.111974716186523,0.00042665822547860444,0.20499999821186066,0.699934720993042,0.990297257900238,700,True,1.4318457033368759e-05,6.332554039545357e-05,0.4570011794567108,0.04119926691055298,3.459578410000063
33,1.420422911643982,1.4197824001312256,1.2634934186935425,22.074867248535156,0.0004268776683602482,0.20499998331069946,0.6999314427375793,0.982540488243103,700,True,1.4342504982778337e-05,6.412585935322568e-05,0.45745232701301575,0.041202545166015625,3.486540145000049
34,1.418026328086853,1.4173632860183716,1.2641162872314453,22.037254333496094,0.00042708811815828085,0.20499998331069946,0.6999312043190002,0.9757982492446899,700,True,1.4107349670666736e-05,6.544683856191114e-05,0.4578770697116852,0.041205525398254395,3.471656034000034
35,1.415560245513916,1.4148706197738647,1.2648762464523315,21.998497009277344,0.00042734487215057015,0.20499998331069946,0.6999469995498657,0.9697498679161072,700,True,1.5779532986925915e-05,6.70877197990194e-05,0.4582814574241638,0.04120880365371704,3.6497299259999636
36,1.4130083322525024,1.4122880697250366,1.265708565711975,21.958343505859375,0.00042762604425661266,0.20499996840953827,0.6999828219413757,0.9641321301460266,700,True,1.8414195437799208e-05,6.900119478814304e-05,0.4586636424064636,0.04121232032775879,3.531295089999958
37,1.4103896617889404,1.4096345901489258,1.26654851436615,21.91708755493164,0.00042790983570739627,0.20499999821186066,0.7000322341918945,0.9591999053955078,700,True,1.9841261746478267e-05,7.099891809048131e-05,0.45903462171554565,0.04121583700180054,3.4451305159999492
38,1.407731056213379,1.4069368839263916,1.267341136932373,21.87514305114746,0.00042817764915525913,0.20499998331069946,0.700082004070282,0.9554449915885925,700,True,2.1710326109314337e-05,7.241313869599253e-05,0.4594748318195343,0.041219234466552734,3.422948978000022
39,1.4050508737564087,1.4042131900787354,1.268327236175537,21.832796096801758,0.00042851080070249736,0.20499998331069946,0.7001181244850159,0.9530295729637146,700,True,2.384905565122608e-05,7.290223584277555e-05,0.4598568081855774,0.0412217378616333,3.5128339210000377
40,1.402347445487976,1.4014619588851929,1.2691714763641357,21.790019989013672,0.00042879601824097335,0.20500001311302185,0.700132429599762,0.9516312479972839,700,True,2.494622276572045e-05,7.312594243558124e-05,0.46018102765083313,0.04122316837310791,3.431671270000038
41,1.3996031284332275,1.3986653089523315,1.2701575756072998,21.746536254882812,0.00042912919889204204,0.20500001311302185,0.7001259326934814,0.9507423043251038,700,True,2.5171531888190657e-05,7.345087215071544e-05,0.46045172214508057,0.04122382402420044,3.425730630000089
42,1.3967928886413574,1.395797848701477,1.2712528705596924,21.701953887939453,0.00042949922499246895,0.20499999821186066,0.7001076936721802,0.950045108795166,700,True,2.487170604581479e-05,7.393093983409926e-05,0.46067512035369873,0.041223764419555664,3.47466873999997
0,1.650117039680481,1.650117039680481,1.2600668668746948,25.656124114990234,0.00042571997619234025,0.20499998331069946,0.699999988079071,1.1943999528884888,1200,False,0.015423433855175972,0.018886037170886993,0.4750935435295105,0.041026294231414795,4.985458086999984
1,1.6476513147354126,1.647648811340332,1.260626196861267,25.617748260498047,0.0004259089473634958,0.20500001311302185,0.7005320191383362,1.166357398033142,1200,False,0.019108356907963753,0.00942856352776289,0.4643496870994568,0.041328251361846924,4.929673982000054
2,1.4774236679077148,1.477413535118103,1.2595973014831543,22.970918655395508,0.00042556136031635106,0.20500001311302185,0.7002981901168823,1.1558321714401245,1200,False,0.0006444972241297364,0.003916273359209299,0.46086081862449646,0.04119527339935303,4.899023995999983
3,1.5056138038635254,1.5055909156799316,1.2585152387619019,23.40902328491211,0.00042519575799815357,0.20499998331069946,0.6999736428260803,1.1419131755828857,1200,False,0.0007405689102597535,0.0016906270757317543,0.46107321977615356,0.041214823722839355,5.140782990999924
4,1.4979244470596313,1.4978840351104736,1.25718092918396,23.289196014404297,0.00042474493966437876,0.20500001311302185,0.6997140049934387,1.1389814615249634,1200,False,0.0003261980600655079,0.000666002684738487,0.46034136414527893,0.0412067174911499,5.02447073899998
5,1.4927164316177368,1.492653727531433,1.256816029548645,23.207874298095703,0.0004246216849423945,0.20499998331069946,0.699622392654419,1.1325722932815552,1100,True,1.2574349966598675e-05,0.000244969705818221,0.4603842496871948,0.04119831323623657,4.715414314999975
6,1.489221215248108,1.4891319274902344,1.2562596797943115,23.153118133544922,0.00042443370330147445,0.20499998331069946,0.6996647119522095,1.1229528188705444,700,True,9.259223588742316e-05,0.00014704819477628917,0.4605812430381775,0.04119640588760376,3.4763616349999893
7,1.4856815338134766,1.4855622053146362,1.2559096813201904,23.097614288330078,0.00042431545443832874,0.20499998331069946,0.6997684836387634,1.1178100109100342,700,True,7.62992276577279e-05,0.00010621627006912604,0.46091872453689575,0.04119604825973511,3.626187023000057
8,1.4824025630950928,1.4822502136230469,1.2559864521026611,23.046119689941406,0.00042434141505509615,0.20499998331069946,0.6998704075813293,1.1150304079055786,700,True,7.522855594288558e-05,9.233254240825772e-05,0.46124476194381714,0.04119610786437988,3.4589458969999214
9,1.4795291423797607,1.4793416261672974,1.255727767944336,23.000896453857422,0.0004242540162522346,0.20499998331069946,0.6999253630638123,1.1097050905227661,700,True,8.0684112617746e-05,8.45063041197136e-05,0.46155187487602234,0.041195690631866455,3.4125803610000958
10,1.4769680500030518,1.4767440557479858,1.2555066347122192,22.96051025390625,0.0004241792776156217,0.20499999821186066,0.6999183893203735,1.1022555828094482,700,True,7.584172271890566e-05,7.897048635641113e-05,0.46182942390441895,0.041194260120391846,3.4487983800000848
11,1.4745979309082031,1.4743372201919556,1.2551777362823486,22.92308807373047,0.00042406818829476833,0.20500001311302185,0.6998611688613892,1.0962520837783813,700,True,6.631359428865835e-05,7.57303205318749e-05,0.4620693027973175,0.04119175672531128,3.53945472099997
